"ID","waterbodyID","LocID","Longitude","Latitude","Order","YourName","organization","SiteID","waterbodyName","state","SiteLocation","SampleYear","SampleMonth","SampleDay","fieldCrew","weather","stationType","sampleMethod","sampleDepthM","SampleHour","SampleMinutes","filtered","frozen","parameter","Value","units","rep","fluorometerType","AnalysisYear","AnalysisMonth","AnalysisDay","AnalysisHour","AnalysisMinutes","locationSourceSta","photoSample","Flag","Comments","LocIDNew","WBID","longitudeSta","latitudeSta","siteDescription","siteComment","longitudeWB","latitudeWB","otherWaterbodyID","waterbodyName.y","town","locationSourceWB","commentWB","commentSta","otherStationID","stationLocation","stationID","sampleDate","analysisDate","sampleTime","analysisTime","waterTempC","surfaceWaterCondition","commentSample","sampleID","analystName","dilution","sampleTemperatureC","photosAnalysis","commentAnalysis","analysisID","commentFluorometry","fluorometryID"
1256,"NHDES_1",27,-72.0494,43.342778,140,"Sonya Carlson","NHDES","SUNSUN3D","Sunapee Lake","NH","SUNAPEE LAKE-230 STN 3 DEEP SPOT",2014,9,15,NA,"partly cloudy, cool, breezy","WL4","Integrated","3",NA,NA,FALSE,FALSE,"Phycocyanin",NA,"ug/l",NA,"Beagle",2014,NA,NA,NA,NA,NA,FALSE,FALSE,NA,27,9328420,-72.0494,43.342778,"WBID=9328420 NHDES 1 SUNSUN3D SUNAPEE LAKE-230 STN 3 DEEP SPOT WL4","",-72.0540945009655,43.3808841225838,"NHDES_1","Sunapee Lake",NA,"MRB1_WBIDLakes",NA,"","SUNSUN3D","SUNAPEE LAKE-230 STN 3 DEEP SPOT","27_WL4",09/15/14,NA,NA,NA,NA,NA,NA,591,NA,NA,NA,NA,NA,385,NA,1072
1257,"NHDES_39",141,-71.679558,43.458833,141,"Sonya Carlson","NHDES","BCHLEGFRKLF","Webster Lake","NH","WEBSTER LAKE LAGACE TB-LEFT",2014,6,30,NA,NA,"Other","Grab","0",NA,NA,FALSE,FALSE,"Phycocyanin",NA,"ug/l",NA,"Beagle",2014,NA,NA,NA,NA,NA,FALSE,FALSE,NA,141,6738922,-71.679558,43.458833,"WBID=6738922 NHDES 39 BCHLEGFRKLF WEBSTER LAKE LAGACE TB-LEFT Other","Distance to NHDlake > 50m but appears okay in GE",-71.6864787518514,43.4702913226517,"NHDES_39","Webster Lake",NA,"MRB1_WBIDLakes",NA,"Distance to NHDlake > 50m but appears okay in GE","BCHLEGFRKLF","WEBSTER LAKE LAGACE TB-LEFT","141_Other",06/30/14,NA,NA,NA,NA,NA,NA,703,NA,NA,NA,NA,NA,386,NA,1073
1258,"NHDES_39",141,-71.679558,43.458833,142,"Sonya Carlson","NHDES","BCHLEGFRKLF","Webster Lake","NH","WEBSTER LAKE LAGACE TB-LEFT",2014,7,7,NA,NA,"Other","Grab","0",NA,NA,FALSE,FALSE,"Phycocyanin",NA,"ug/l",NA,"Beagle",2014,NA,NA,NA,NA,NA,FALSE,FALSE,NA,141,6738922,-71.679558,43.458833,"WBID=6738922 NHDES 39 BCHLEGFRKLF WEBSTER LAKE LAGACE TB-LEFT Other","Distance to NHDlake > 50m but appears okay in GE",-71.6864787518514,43.4702913226517,"NHDES_39","Webster Lake",NA,"MRB1_WBIDLakes",NA,"Distance to NHDlake > 50m but appears okay in GE","BCHLEGFRKLF","WEBSTER LAKE LAGACE TB-LEFT","141_Other",07/07/14,NA,NA,NA,NA,NA,NA,701,NA,NA,NA,NA,NA,387,NA,1074
1259,"NHDES_39",141,-71.679558,43.458833,143,"Sonya Carlson","NHDES","BCHLEGFRKLF","Webster Lake","NH","WEBSTER LAKE LAGACE TB-LEFT",2014,7,7,NA,NA,"Other","Grab","0",NA,NA,FALSE,FALSE,"Phycocyanin",NA,"ug/l",NA,"Beagle",2014,NA,NA,NA,NA,NA,FALSE,FALSE,NA,141,6738922,-71.679558,43.458833,"WBID=6738922 NHDES 39 BCHLEGFRKLF WEBSTER LAKE LAGACE TB-LEFT Other","Distance to NHDlake > 50m but appears okay in GE",-71.6864787518514,43.4702913226517,"NHDES_39","Webster Lake",NA,"MRB1_WBIDLakes",NA,"Distance to NHDlake > 50m but appears okay in GE","BCHLEGFRKLF","WEBSTER LAKE LAGACE TB-LEFT","141_Other",07/07/14,NA,NA,NA,NA,NA,NA,701,NA,NA,NA,NA,NA,387,NA,1074
1400,"NHDES_1",27,-72.0494,43.342778,140,"Sonya Carlson","NHDES","SUNSUN3D","Sunapee Lake","NH","SUNAPEE LAKE-230 STN 3 DEEP SPOT",2014,9,15,NA,"partly cloudy, cool, breezy","WL4","Integrated","3",NA,NA,FALSE,FALSE,"Chlorophyll",NA,"ug/l",NA,"Beagle",2014,NA,NA,NA,NA,NA,FALSE,FALSE,NA,27,9328420,-72.0494,43.342778,"WBID=9328420 NHDES 1 SUNSUN3D SUNAPEE LAKE-230 STN 3 DEEP SPOT WL4","",-72.0540945009655,43.3808841225838,"NHDES_1","Sunapee Lake",NA,"MRB1_WBIDLakes",NA,"","SUNSUN3D","SUNAPEE LAKE-230 STN 3 DEEP SPOT","27_WL4",09/15/14,NA,NA,NA,NA,NA,NA,591,NA,NA,NA,NA,NA,385,NA,1215
1401,"NHDES_39",141,-71.679558,43.458833,141,"Sonya Carlson","NHDES","BCHLEGFRKLF","Webster Lake","NH","WEBSTER LAKE LAGACE TB-LEFT",2014,6,30,NA,NA,"Other","Grab","0",NA,NA,FALSE,FALSE,"Chlorophyll",NA,"ug/l",NA,"Beagle",2014,NA,NA,NA,NA,NA,FALSE,FALSE,NA,141,6738922,-71.679558,43.458833,"WBID=6738922 NHDES 39 BCHLEGFRKLF WEBSTER LAKE LAGACE TB-LEFT Other","Distance to NHDlake > 50m but appears okay in GE",-71.6864787518514,43.4702913226517,"NHDES_39","Webster Lake",NA,"MRB1_WBIDLakes",NA,"Distance to NHDlake > 50m but appears okay in GE","BCHLEGFRKLF","WEBSTER LAKE LAGACE TB-LEFT","141_Other",06/30/14,NA,NA,NA,NA,NA,NA,703,NA,NA,NA,NA,NA,386,NA,1216
1402,"NHDES_39",141,-71.679558,43.458833,142,"Sonya Carlson","NHDES","BCHLEGFRKLF","Webster Lake","NH","WEBSTER LAKE LAGACE TB-LEFT",2014,7,7,NA,NA,"Other","Grab","0",NA,NA,FALSE,FALSE,"Chlorophyll",NA,"ug/l",NA,"Beagle",2014,NA,NA,NA,NA,NA,FALSE,FALSE,NA,141,6738922,-71.679558,43.458833,"WBID=6738922 NHDES 39 BCHLEGFRKLF WEBSTER LAKE LAGACE TB-LEFT Other","Distance to NHDlake > 50m but appears okay in GE",-71.6864787518514,43.4702913226517,"NHDES_39","Webster Lake",NA,"MRB1_WBIDLakes",NA,"Distance to NHDlake > 50m but appears okay in GE","BCHLEGFRKLF","WEBSTER LAKE LAGACE TB-LEFT","141_Other",07/07/14,NA,NA,NA,NA,NA,NA,701,NA,NA,NA,NA,NA,387,NA,1217
1403,"NHDES_39",141,-71.679558,43.458833,143,"Sonya Carlson","NHDES","BCHLEGFRKLF","Webster Lake","NH","WEBSTER LAKE LAGACE TB-LEFT",2014,7,7,NA,NA,"Other","Grab","0",NA,NA,FALSE,FALSE,"Chlorophyll",NA,"ug/l",NA,"Beagle",2014,NA,NA,NA,NA,NA,FALSE,FALSE,NA,141,6738922,-71.679558,43.458833,"WBID=6738922 NHDES 39 BCHLEGFRKLF WEBSTER LAKE LAGACE TB-LEFT Other","Distance to NHDlake > 50m but appears okay in GE",-71.6864787518514,43.4702913226517,"NHDES_39","Webster Lake",NA,"MRB1_WBIDLakes",NA,"Distance to NHDlake > 50m but appears okay in GE","BCHLEGFRKLF","WEBSTER LAKE LAGACE TB-LEFT","141_Other",07/07/14,NA,NA,NA,NA,NA,NA,701,NA,NA,NA,NA,NA,387,NA,1217
1544,"NHDES_1",27,-72.0494,43.342778,140,"Sonya Carlson","NHDES","SUNSUN3D","Sunapee Lake","NH","SUNAPEE LAKE-230 STN 3 DEEP SPOT",2014,9,15,NA,"partly cloudy, cool, breezy","WL4","Integrated","3",NA,NA,FALSE,FALSE,"Phycocyanin",NA,"RFU",NA,"Turner",2014,NA,NA,NA,NA,NA,FALSE,FALSE,NA,27,9328420,-72.0494,43.342778,"WBID=9328420 NHDES 1 SUNSUN3D SUNAPEE LAKE-230 STN 3 DEEP SPOT WL4","",-72.0540945009655,43.3808841225838,"NHDES_1","Sunapee Lake",NA,"MRB1_WBIDLakes",NA,"","SUNSUN3D","SUNAPEE LAKE-230 STN 3 DEEP SPOT","27_WL4",09/15/14,NA,NA,NA,NA,NA,NA,591,NA,NA,NA,NA,NA,385,NA,1358
1545,"NHDES_39",141,-71.679558,43.458833,141,"Sonya Carlson","NHDES","BCHLEGFRKLF","Webster Lake","NH","WEBSTER LAKE LAGACE TB-LEFT",2014,6,30,NA,NA,"Other","Grab","0",NA,NA,FALSE,FALSE,"Phycocyanin",NA,"RFU",NA,"Turner",2014,NA,NA,NA,NA,NA,FALSE,FALSE,NA,141,6738922,-71.679558,43.458833,"WBID=6738922 NHDES 39 BCHLEGFRKLF WEBSTER LAKE LAGACE TB-LEFT Other","Distance to NHDlake > 50m but appears okay in GE",-71.6864787518514,43.4702913226517,"NHDES_39","Webster Lake",NA,"MRB1_WBIDLakes",NA,"Distance to NHDlake > 50m but appears okay in GE","BCHLEGFRKLF","WEBSTER LAKE LAGACE TB-LEFT","141_Other",06/30/14,NA,NA,NA,NA,NA,NA,703,NA,NA,NA,NA,NA,386,NA,1359
