"SiteID","WaterbodyName","SiteLocation","Latitude","Longitude"
"18713","Housatonic River (Kettletown)","at middle of beach",NA,NA
"18714","Pattaconk Reservoir","at middle of beach",NA,NA
"18715","Mount Tom Pond","at middle of beach",NA,NA
"18716","Lake Waramaug","at middle of beach",NA,NA
"18717","Squantz Pond","at middle of beach",NA,NA
"18718","Gardner Lake","at middle of beach",NA,NA
"18475","Lower Bolton Lake","at boat ramp",NA,NA
"14514","Porter Pond","Near outlet dam",NA,NA
"18742","Tyler Lake","",NA,NA
"15924-M","Mashamoquet","middle of swimming area",NA,NA
"15675","Lake Beseck","At dam",NA,NA
"18770","Lake Pocotopaug","Sears Park Beach",NA,NA
