"SiteID","WaterbodyName","State","SiteLocation","SampleLocation","Latitude","Longitude","ID"
"14514","Porter Pond","CT","Near outlet dam",NA,NA,NA,NA
"15675","Lake Beseck","CT","At dam",NA,NA,NA,NA
"15924-M","Mashamoquet","CT","middle of swimming area",NA,NA,NA,NA
"18475","Lower Bolton Lake","CT","at boat ramp",NA,NA,NA,NA
"18713","Housatonic River (Kettletown)","CT","at middle of beach",NA,NA,NA,NA
"18714","Pattaconk Reservoir","CT","at middle of beach",NA,NA,NA,NA
"18715","Mount Tom Pond","CT","at middle of beach",NA,NA,NA,NA
"18716","Lake Waramaug","CT","at middle of beach",NA,NA,NA,NA
"18717","Squantz Pond","CT","at middle of beach",NA,NA,NA,NA
"18718","Gardner Lake","CT","at middle of beach",NA,NA,NA,NA
"18742","Tyler Lake","CT",NA,NA,NA,NA,NA
"18770","Lake Pocotopaug","CT","Sears Park Beach",NA,NA,NA,NA
"MA70-02 ","Charles River","MA","ND","SS1",42.36936,"-71.061925",NA
"MA72-08","Charles River","MA","BROAD","SS1",42.362866,"-71.081652",NA
"MA72-08","Charles River","MA","CB","SS1",42.358755,"-71.073377",NA
"MA72-08","Charles River","MA","SP","SS1",42.358519,"-71.087433",NA
"ARMPIED","18","NH","ARMINGTON LAKE-DEEP SPOT","WL1",43.958389,"-71.9692","ARMPIED_18-WL1"
"AYEBARD","22","NH","AYERS POND-DEEP SPOT","WL1",43.256,"-71.0433","AYEBARD_22-WL1"
"Ayers Lake SS#2","22","NH","","SS2",43.252955,"-71.040945","Ayers Lake SS#2_22-SS2"
"Ayers Lake WL#2","22","NH","Ayers Lake WL#2","WL2",43.253455,"-71.048412","Ayers Lake WL#2_22-WL2"
"Ayers Lake WL#3","22","NH","Ayers Lake WL#3","WL3",43.258643,"-71.038456","Ayers Lake WL#3_22-WL3"
"BCHFIRBRRLF","22","NH","CAMP FIRESIDE-LEFT","SS1",43.261517,"-71.033837","BCHFIRBRRLF_22-SS1"
"BCHLEGFRKLF","39","NH","WEBSTER LAKE LAGACE TB-LEFT","Other",43.458833,"-71.679558","BCHLEGFRKLF_39-Other"
"BCHSELSDNRT","8","NH","PHILLIPS POND SEELEY PARK-RIGHT","Other",42.923905,"-71.187255","BCHSELSDNRT_8-Other"
"BCHSELSDNRT","8","NH","PHILLIPS POND SEELEY PARK-RIGHT","SS1",42.923905,"-71.187255","BCHSELSDNRT_8-SS1"
"BCHSLSHLSLF","9","NH","SILVER LAKE SP-LEFT","Other",42.76075,"-71.595639","BCHSLSHLSLF_9-Other"
"BCHSLSHLSRT","9","NH","SILVER LAKE SP-RIGHT","SS1",42.760028,"-71.597028","BCHSLSHLSRT_9-SS1"
"BCHTWBHUDCR","4","NH","ROBINSON POND TB-CENTER","Other",42.799945,"-71.381614","BCHTWBHUDCR_4-Other"
"BCHTWBPELRT","6","NH","LONG POND-RIGHT","SS1",42.700861,"-71.365111","BCHTWBPELRT_6-SS1"
"Bear camp SS#2","12","NH","Bear camp SS#2","SS2",43.813147,"-71.3712","Bear camp SS#2_12-SS2"
