"Order","YourName","Organization","SiteID","WaterbodyName","State","SiteLocation","SampleYear","SampleMonth","SampleDay","NameOfSamplers","WeatherConditions","SampleLocation","SampleMethod","Depth","Latitude","Longitude","SampleHour","SampleMinutes","Filtered","Frozen","Parameter","Value","Units","Rep","Fluorometer","AnalysisYear","AnalysisMonth","AnalysisDay","AnalysisHour","AnalysisMinutes","GPSType","Photos","Flag","Comments"
1,"Sonya Carlson","NH_T","SUNSUN1D",1,"NH","SUNAPEE LAKE-200 STN 1 DEEP SPOT",2014,7,22,NA,"Hazy, calm, hot","WL1","Integrated",3,43.406083,-72.0426,NA,NA,"FALSE","FALSE","Phycocyanin",0.1,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
2,"Sonya Carlson","NH_T","SUNSUN220D",1,"NH","SUNAPEE LAKE-220 DEEP SPOT",2014,7,22,NA,"Hazy, calm, hot","WL3","Integrated",3,43.361911,-72.055997,NA,NA,"FALSE","FALSE","Phycocyanin",1.5,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
3,"Sonya Carlson","NH_T","SUNSUN2D",1,"NH","SUNAPEE LAKE-210 STN 2 DEEP SPOT",2014,7,22,NA,"Hazy, calm, hot","WL2","Integrated",3,43.3836,-72.0627,NA,NA,"FALSE","FALSE","Phycocyanin",0.1,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
4,"Sonya Carlson","NH_T","SUNSUN3D",1,"NH","SUNAPEE LAKE-230 STN 3 DEEP SPOT",2014,7,22,NA,"Hazy, calm, hot","WL4","Integrated",3,43.342778,-72.0494,NA,NA,"FALSE","FALSE","Phycocyanin",0.1,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
5,"Sonya Carlson","NH_T","SUNSUN1D",1,"NH","SUNAPEE LAKE-200 STN 1 DEEP SPOT",2014,8,19,NA,"Clear, breezy, hot","WL1","Integrated",3,43.406083,-72.0426,NA,NA,"FALSE","FALSE","Phycocyanin",NA,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
6,"Sonya Carlson","NH_T","SUNSUN2D",1,"NH","SUNAPEE LAKE-210 STN 2 DEEP SPOT",2014,8,19,NA,"Clear, breezy, hot","WL2","Integrated",3,43.3836,-72.0627,NA,NA,"FALSE","FALSE","Phycocyanin",NA,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
7,"Sonya Carlson","NH_T","SUNSUN220D",1,"NH","SUNAPEE LAKE-220 DEEP SPOT",2014,8,19,NA,"Clear, breezy, hot","WL3","Integrated",3,43.361911,-72.055997,NA,NA,"FALSE","FALSE","Phycocyanin",NA,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
8,"Sonya Carlson","NH_T","SUNSUN3D",1,"NH","SUNAPEE LAKE-230 STN 3 DEEP SPOT",2014,8,19,NA,"Clear, breezy, hot","WL4","Integrated",3,43.342778,-72.0494,NA,NA,"FALSE","FALSE","Phycocyanin",NA,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
9,"Sonya Carlson","NH_T","HALALTD",2,"NH","HALFMOON LAKE-DEEP SPOT",2014,7,25,NA,"Clear, calm, cool","WL1","Integrated",3,43.391083,-71.227694,NA,NA,"FALSE","FALSE","Phycocyanin",1,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
10,"Sonya Carlson","NH_T","HALALTPUB",2,"NH","HALFMOON LAKE-PUBLIC BEACH",2014,7,25,NA,"Clear, calm, cool","SS2","Integrated",1,43.39525,-71.236681,NA,NA,"FALSE","FALSE","Phycocyanin",0.1,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
11,"Sonya Carlson","NH_T","HALALTR",2,"NH","HALFMOON LAKE-RUSTIC SHORES",2014,7,25,NA,"Clear, calm, cool","SS1","Integrated",1,43.393325,-71.216344,NA,NA,"FALSE","FALSE","Phycocyanin",0.1,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
12,"Sonya Carlson","NH_T","HALALTHWB",2,"NH","HALFMOON POND-HOLLYWOOD BEACH",2014,7,25,NA,"Clear, calm, cool","SS3","Integrated",1,43.389308,-71.217014,NA,NA,"FALSE","FALSE","Phycocyanin",0.55,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
13,"Sonya Carlson","NH_T","HALALTD",2,"NH","HALFMOON LAKE-DEEP SPOT",2014,8,22,NA,"Cloudy, breezy, cool","WL1","Integrated",3,43.391083,-71.227694,NA,NA,"FALSE","FALSE","Phycocyanin",3.5,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
14,"Sonya Carlson","NH_T","MESNWLD",3,"NH","MESSER POND-DEEP SPOT",2014,7,26,NA,"","WL1","Integrated",3,43.4008,-72.0095,NA,NA,"FALSE","FALSE","Phycocyanin",NA,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
15,"Sonya Carlson","NH_T","BCHTWBHUDCR",4,"NH","ROBINSON POND TB-CENTER",2014,7,31,NA,"","Other","Grab",0,42.799945,-71.381614,NA,NA,"FALSE","FALSE","Phycocyanin",20.5,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
16,"Sonya Carlson","NH_T","OTTHUDBL",5,"NH","OTTERNICK POND-BOAT LAUNCH",2014,7,31,NA,"","Other","Grab",0,42.772744,-71.425831,NA,NA,"FALSE","FALSE","Phycocyanin",863.87,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
17,"Sonya Carlson","NH_T","LONPELNHD",6,"NH","LONG POND-NH DEEP SPOT",2014,7,31,NA,"Hazy, breezy, warm","WL3","Integrated",3,42.698694,-71.3671,NA,NA,"FALSE","FALSE","Phycocyanin",5,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
18,"Sonya Carlson","NH_T","BCHTWBPELRT",6,"NH","LONG POND-RIGHT",2014,8,8,NA,"Sunny, calm, hot","SS1","Integrated",1,42.700861,-71.365111,NA,NA,"FALSE","FALSE","Phycocyanin",8.5,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
19,"Sonya Carlson","NH_T","FREHENCAMP",7,"NH","FRENCH POND-CAMPGROUND SWIM AREA",2014,8,1,NA,"Hazy, breezy, warm","SS2","Integrated",1,43.19,-71.7749,NA,NA,"FALSE","FALSE","Phycocyanin",2.5,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
20,"Sonya Carlson","NH_T","FREHEND",7,"NH","FRENCH POND-DEEP SPOT",2014,8,1,NA,"Hazy, breezy, warm","WL1","Integrated",3,43.192722,-71.775972,NA,NA,"FALSE","FALSE","Phycocyanin",2,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
21,"Sonya Carlson","NH_T","FREHENL",7,"NH","FRENCH POND-LAUNCH BROOK",2014,8,1,NA,"Hazy, breezy, warm","SS1","Integrated",1,43.194,-71.775083,NA,NA,"FALSE","FALSE","Phycocyanin",2,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
22,"Sonya Carlson","NH_T","FREHEND2",7,"NH","FREHEND2",2014,8,1,NA,"Hazy, breezy, warm","WL2","Integrated",3,43.192772,-71.774862,NA,NA,"FALSE","FALSE","Phycocyanin",3.5,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
23,"Sonya Carlson","NH_T","FREHEND3",7,"NH","FREHEND3",2014,8,1,NA,"Hazy, breezy, warm","WL3","Integrated",3,43.191035,-71.77705,NA,NA,"FALSE","FALSE","Phycocyanin",0.1,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
24,"Sonya Carlson","NH_T","BCHSELSDNRT",8,"NH","PHILLIPS POND SEELEY PARK-RIGHT",2014,8,4,NA,"","Other","Grab",0,42.923905,-71.187255,NA,NA,"FALSE","FALSE","Phycocyanin",1797.63,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
25,"Sonya Carlson","NH_T","BCHSELSDNRT",8,"NH","PHILLIPS POND SEELEY PARK-RIGHT",2014,8,8,NA,"Sunny, calm, hot","SS1","Integrated",1,42.923905,-71.187255,NA,NA,"FALSE","FALSE","Phycocyanin",5,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
26,"Sonya Carlson","NH_T","PHISDND",8,"NH","PHILLIPS POND-DEEP SPOT",2014,9,14,NA,"Clear, breezy, cool","WL1","Integrated",3,42.918884,-71.187874,NA,NA,"FALSE","FALSE","Phycocyanin",1,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
27,"Sonya Carlson","NH_T","Phillips Pond WL#2",8,"NH","Phillips Pond WL#2",2014,9,14,NA,"Clear, breezy, cool","WL2","Integrated",3,42.914415,-71.190441,NA,NA,"FALSE","FALSE","Phycocyanin",1,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
28,"Sonya Carlson","NH_T","Phillips Pond WL#3",8,"NH","Phillips Pond WL#3",2014,9,14,NA,"Clear, breezy, cool","WL3","Integrated",3,42.922492,-71.188273,NA,NA,"FALSE","FALSE","Phycocyanin",8,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
29,"Sonya Carlson","NH_T","Phillips Pond SS#1",8,"NH","Phillips Pond SS#1",2014,9,14,NA,"Clear, breezy, cool","SS1","Integrated",1.5,42.923667,-71.187617,NA,NA,"FALSE","FALSE","Phycocyanin",4,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
30,"Sonya Carlson","NH_T","Phillips Pond SS#2",8,"NH","Phillips Pond SS#2",2014,9,14,NA,"Clear, breezy, cool","SS2","Integrated",1.5,42.923667,-71.187617,NA,NA,"FALSE","FALSE","Phycocyanin",4.5,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
31,"Sonya Carlson","NH_T","BCHSLSHLSLF",9,"NH","SILVER LAKE SP-LEFT",2014,8,4,NA,"Sunny","Other","Grab",0,42.76075,-71.595639,NA,NA,"FALSE","FALSE","Phycocyanin",1218.49,"µg.L",NA,"Beagle",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
