Order,YourName,Organization,SiteID,WaterbodyName,State,SiteLocation,SampleYear,SampleMonth,SampleDay,NameOfSamplers,WeatherConditions,SampleLocation,SampleMethod,Depth,Latitude,Longitude,SampleHour,SampleMinutes,Filtered,Frozen,Parameter,Value,Units,Fluorometer,AnalysisYear,AnalysisMonth,AnalysisDay,AnalysisHour,AnalysisMinutes,GPSType,Photos,Flag,Comments,Phycocyanin_mg/l_Beagle_Fresh_Unfiltered,Chlorophyll_mg/l_Beagle_Fresh_Unfiltered,Phycocyanin_RFU_Turner_Fresh_Unfiltered,Chlorophyll_RFU_Turner_Fresh_Unfiltered,Phycocyanin_mg/l_Beagle_Fresh_Filtered,Chlorophyll_mg/l_Beagle_Fresh_Filtered,Phycocyanin_RFU_Turner_Fresh_Filtered,Chlorophyll_RFU_Turner_Fresh_Filtered,Phycocyanin_mg/l_Beagle_Frozen_Unfiltered,Chlorophyll_mg/l_Beagle_Frozen_Unfiltered,Phycocyanin_RFU_Turner_Frozen_Unfiltered,Chlorophyll_RFU_Turner_Frozen_Unfiltered,Phycocyanin_mg/l_Beagle_Frozen_Filtered,Chlorophyll_mg/l_Beagle_Frozen_Filtered,Phycocyanin_RFU_Turner_Frozen_Filtered,Chlorophyll_RFU_Turner_Frozen_Filtered
1,SonyaCarlson,NHDES,SUNSUN1D,SUNAPEE LAKE,CT,SUNAPEE LAKE-200 STN 1 DEEP SPOT,2014,7,22,,"Hazy, calm, hot",WL1,,3,43.406083,-72.0426,,,,,,,,,,,,,,,,FALSE,,0.1,0.05,0.193,3.013,0.1,0,0.064,-0.064,,,,,,,,
2,SonyaCarlson,NHDES,SUNSUN220D,SUNAPEE LAKE,CT,SUNAPEE LAKE-220 DEEP SPOT,2014,7,22,,"Hazy, calm, hot",WL3,,3,43.361911,-72.055997,,,,,,,,,,,,,,,,TRUE,Order 2 & 3 reversed,1.5,0,0.124,1.276,0.1,0,0.028,-1.444,,,,,,,,
3,SonyaCarlson,NHDES,SUNSUN2D,SUNAPEE LAKE,CT,SUNAPEE LAKE-210 STN 2 DEEP SPOT,2014,7,22,,"Hazy, calm, hot",WL2,,3,43.3836,-72.0627,,,,,,,,,,,,,,,,TRUE,Order 2 & 3 reversed,0.1,0,0.192,1.954,2,0,0.038,-1.107,,,,,,,,
4,SonyaCarlson,NHDES,SUNSUN3D,SUNAPEE LAKE,CT,SUNAPEE LAKE-230 STN 3 DEEP SPOT,2014,7,22,,"Hazy, calm, hot",WL4,,3,43.342778,-72.0494,,,,,,,,,,,,,,,,FALSE,,0.1,0.01,0.077,0.751,0.1,0,0.01,-1.665,,,,,,,,
5,SonyaCarlson,NHDES,SUNSUN1D,SUNAPEE LAKE,CT,SUNAPEE LAKE-200 STN 1 DEEP SPOT,2014,8,19,,"Clear, breezy, hot",WL1,,3,43.406083,-72.0426,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
6,SonyaCarlson,NHDES,SUNSUN2D,SUNAPEE LAKE,CT,SUNAPEE LAKE-210 STN 2 DEEP SPOT,2014,8,19,,"Clear, breezy, hot",WL2,,3,43.3836,-72.0627,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
7,SonyaCarlson,NHDES,SUNSUN220D,SUNAPEE LAKE,CT,SUNAPEE LAKE-220 DEEP SPOT,2014,8,19,,"Clear, breezy, hot",WL3,,3,43.361911,-72.055997,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
8,SonyaCarlson,NHDES,SUNSUN3D,SUNAPEE LAKE,CT,SUNAPEE LAKE-230 STN 3 DEEP SPOT,2014,8,19,,"Clear, breezy, hot",WL4,,3,43.342778,-72.0494,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
9,SonyaCarlson,NHDES,HALALTD,HALFMOON LAKE,CT,HALFMOON LAKE-DEEP SPOT,2014,7,25,,"Clear, calm, cool",WL1,,3,43.391083,-71.227694,,,,,,,,,,,,,,,,FALSE,,1,0.28,0.269,6.508,0.1,0.13,0.106,0.39,,,,,,,,
10,SonyaCarlson,NHDES,HALALTPUB,HALFMOON LAKE,CT,HALFMOON LAKE-PUBLIC BEACH,2014,7,25,,"Clear, calm, cool",SS2,,1,43.39525,-71.236681,,,,,,,,,,,,,,,,FALSE,,0.1,0.23,0.218,7.379,0.1,0.13,0.018,-0.009,,,,,,,,
