waterbodyID,waterbodyName
NHDES_1,Sunapee Lake
NHDES_10,Lower Danforth Pond
NHDES_11,Ossipee Lake
NHDES_12,Bear Camp Pond
NHDES_13,RockyboundPond
NHDES_14,Lower Beech Pond
NHDES_15,Gardner Lake
NHDES_16,Little Sunapee Lake
NHDES_17,Silver Lake
NHDES_18,Armington lake
NHDES_19,Tarleton lake
NHDES_2,Halfmoon Lake
NHDES_20,Canaan Street lake
NHDES_21,Eastman Pond
NHDES_22,Ayers Lake
NHDES_23,Big Island Pond
NHDES_24,Lees Pond
NHDES_25,Mascoma Lake
NHDES_26,Thorndike Pond
NHDES_27,Wicwas Lake
NHDES_28,Lake Skatutakee
NHDES_29,Dublin Pond
NHDES_3,Messer Pond
NHDES_30,Sand Pond
NHDES_31,Clement Pond
NHDES_32,Sebbins Pond 
NHDES_33,Granite Lake
NHDES_34,Lake Kanesatka
NHDES_35,Nubanusit Lake
NHDES_36,Hunkins Pond
NHDES_37,Showell Pond
NHDES_38,Tower Hill Pond
NHDES_39,Webster Lake
NHDES_4,Robinson Pond
NHDES_5,Otternick Pond
NHDES_6,Long Pond
NHDES_7,French Pond
NHDES_8,Phillips Pond
NHDES_9,Silver Lake
