ST,WB_ID,Waterbody,Town,AlbersAreaM,Centroid_Long,Centroid_Lat,Y2009,Y2010,Y2011,Y2012,Flag,Comment
MA,5862237,Lake Quannapowitt,Wakefield,929924.5514,-71.07855842,42.51497435,1,1,0,0,,
MA,5864367,Horn Pond,Woburn,399418.396,-71.15646748,42.46872879,1,1,1,1,,
MA,5864419,Ell Pond,Melrose,84020.12823,-71.06513486,42.46111133,1,1,0,1,,
MA,5864435,Wedge Pond,Winchester,91138.78482,-71.1410131,42.45419178,1,0,1,1,,
MA,5864561,Fellsmere Pond,Malden,18631.58807,-71.08532117,42.42808128,0,0,1,0,,
MA,5864621,Spy Pond,Arlington,380885.685,-71.15484293,42.40775945,1,1,1,1,,
MA,5864641,Little Pond,Belmont,65419.30397,-71.15885986,42.3998925,0,0,1,0,,
MA,5864871,Crystal Lake,Newton,90922.05922,-71.20050507,42.32707346,0,0,0,2,,
MA,5875121,Oldham Pond,Pembroke,928929.1771,-70.83657152,42.06633174,0,0,1,0,,
MA,5875135,Wampatuck Pond,Hanson,255882.4182,-70.86697242,42.06092162,1,1,0,0,,
MA,5875155,Furnace Pond,Pembroke,395205.9194,-70.82569454,42.05564862,0,0,1,0,,
MA,5875179,Indian Head Pond,Hanson,471396.6876,-70.85014597,42.04821361,1,0,0,0,,
MA,5876835,Moll's Pond,Eastham,13728.74418,-69.9756221,41.84494699,0,0,0,1,,
MA,5876877,Uncle Harvey's Pond,Orleans,25559.81198,-69.95490786,41.77963512,0,0,0,1,,
MA,5877435,Little Long Pond,Plymouth,177196.7443,-70.61315891,41.86932127,0,0,0,1,,
MA,5877527,Savery Pond,Plymouth,111731.5667,-70.54971892,41.84732443,0,0,1,0,,
MA,5877617,White Island Pond,Plymouth,1133997.172,-70.6220544,41.80938392,1,0,1,0,,
MA,5877835,Cliff Pond,Brewster,757853.2303,-70.02380656,41.75793877,1,0,0,2,,
MA,5877907,Smith Pond,Brewster,37448.56809,-70.10414308,41.74773455,0,1,0,0,,
MA,5877909,Sassaquin Pond,New Bedford,134262.5375,-70.94894108,41.73480839,0,1,1,0,,
MA,5877947,Walker's Pond,Brewster,1381830.455,-70.11944921,41.72857607,3,0,0,1,,
MA,5878063,Hinkley Pond,Harwich,650721.852,-70.08961682,41.71302618,1,0,0,0,,
MA,5878317,Santuit Pond,Mashpee,626120.687,-70.45834391,41.65360247,1,1,2,1,,
MA,5878349,Lovell's Pond,Barnstable,201497.1629,-70.44178351,41.64845791,2,2,1,1,,
MA,5878367,Buttonwood Pond,New Bedford,33786.08601,-70.95454024,41.63356751,0,0,1,0,,
MA,5878395,North Pond,Barnstable,15238.75048,-70.36450528,41.63555969,0,0,1,0,,
MA,5882135,Head of Hummock,Nantucket,63536.73072,-70.13402205,41.27873014,0,1,0,0,,
MA,6095787,Congamond Lake,Southwick,1033790.823,-72.75876371,42.02884056,0,0,1,0,,
MA,6095911,South Congamond Lake,Southwick,553728.7146,-72.76484082,42.01361208,0,0,0,1,,
