YourName,Organization,SiteID,WaterbodyName,State,SiteLocation,SampleDate,NameOfSamplers,WeatherConditions,TypeOfSample,Depth,Latitude,Longitude,SampleTime,Filtered?,Frozen?,Parameter,Value,AnalysisDate,AnalysisTime,Fluorometer,GPSType,Photos?,Flag?,Comments,,,,,,,,,,,,,,,,,,
Vuarnelle Urena,URI Watershed Watch,WW37,Roger Williams Park Pond,RI,Cunliff Pond (RWP #7),07/18/14,Marc Mayes,"Sunny, Gentle Breeze, Hot & Humid",SS-1,0.5,41.7773,-71.4142,11:00,No,No,Phycocyanin,3,18-Jul,,Beagle,Cell phone GPS,No,,,,,,,,,,,,,,,,,,,,
Vuarnelle Urena,URI Watershed Watch,WW37,Roger Williams Park Pond,RI,Cunliff Pond (RWP #7),07/18/14,Marc Mayes,"Sunny, Gentle Breeze, Hot & Humid",SS-1,0.5,41.7773,-71.4142,11:00,No,No,Phycocyanin,3,18-Jul,,Beagle,Cell phone GPS,No,,,,,,,,,,,,,,,,,,,,
Vuarnelle Urena,URI Watershed Watch,WW37,Roger Williams Park Pond,RI,Cunliff Pond (RWP #7),07/18/14,Marc Mayes,"Sunny, Gentle Breeze, Hot & Humid",SS-1,0.5,41.7773,-71.4142,11:00,Yes,No,Phycocyanin,1,18-Jul,,Beagle,Cell phone GPS,No,,,,,,,,,,,,,,,,,,,,
Vuarnelle Urena,URI Watershed Watch,WW37,Roger Williams Park Pond,RI,Cunliff Pond (RWP #7),07/18/14,Marc Mayes,"Sunny, Gentle Breeze, Hot & Humid",SS-1,0.5,41.7773,-71.4142,11:00,Yes,No,Phycocyanin,0.1,18-Jul,,Beagle,Cell phone GPS,No,,,,,,,,,,,,,,,,,,,,
Vuarnelle Urena,URI Watershed Watch,WW37,Roger Williams Park Pond,RI,Cunliff Pond (RWP #7),07/18/14,Marc Mayes,"Sunny, Gentle Breeze, Hot & Humid",SS-1,0.5,41.7773,-71.4142,11:00,No,No,Chlorophyll,8.66,18-Jul,,Beagle,Cell phone GPS,No,,,,,,,,,,,,,,,,,,,,
Vuarnelle Urena,URI Watershed Watch,WW37,Roger Williams Park Pond,RI,Cunliff Pond (RWP #7),07/18/14,Marc Mayes,"Sunny, Gentle Breeze, Hot & Humid",SS-1,0.5,41.7773,-71.4142,11:00,No,No,Chlorophyll,8.66,18-Jul,,Beagle,Cell phone GPS,No,,,,,,,,,,,,,,,,,,,,
Vuarnelle Urena,URI Watershed Watch,WW37,Roger Williams Park Pond,RI,Cunliff Pond (RWP #7),07/18/14,Marc Mayes,"Sunny, Gentle Breeze, Hot & Humid",SS-1,0.5,41.7773,-71.4142,11:00,Yes,No,Chlorophyll,0.82,18-Jul,,Beagle,Cell phone GPS,No,,,,,,,,,,,,,,,,,,,,
Vuarnelle Urena,URI Watershed Watch,WW37,Roger Williams Park Pond,RI,Cunliff Pond (RWP #7),07/18/14,Marc Mayes,"Sunny, Gentle Breeze, Hot & Humid",SS-1,0.5,41.7773,-71.4142,11:00,Yes,No,Chlorophyll,0.72,18-Jul,,Beagle,Cell phone GPS,No,,,,,,,,,,,,,,,,,,,,
Vuarnelle Urena,URI Watershed Watch,WW37,Roger Williams Park Pond,RI,Cunliff Pond (RWP #7),07/18/14,Marc Mayes,"Sunny, Gentle Breeze, Hot & Humid",SS-1,0.5,41.7773,-71.4142,11:00,No,Yes,Phycocyanin,3.00,18-Jul,,Beagle,Cell phone GPS,No,,,,,,,,,,,,,,,,,,,,
Vuarnelle Urena,URI Watershed Watch,WW37,Roger Williams Park Pond,RI,Cunliff Pond (RWP #7),07/18/14,Marc Mayes,"Sunny, Gentle Breeze, Hot & Humid",SS-1,0.5,41.7773,-71.4142,11:00,Yes,Yes,Phycocyanin,1.00,18-Jul,,Beagle,Cell phone GPS,No,,,,,,,,,,,,,,,,,,,,
Vuarnelle Urena,URI Watershed Watch,WW37,Roger Williams Park Pond,RI,Cunliff Pond (RWP #7),07/18/14,Marc Mayes,"Sunny, Gentle Breeze, Hot & Humid",SS-1,0.5,41.7773,-71.4142,11:00,No,Yes,Chlorophyll,8.66,18-Jul,,Beagle,Cell phone GPS,No,,,,,,,,,,,,,,,,,,,,
Vuarnelle Urena,URI Watershed Watch,WW37,Roger Williams Park Pond,RI,Cunliff Pond (RWP #7),07/18/14,Marc Mayes,"Sunny, Gentle Breeze, Hot & Humid",SS-1,0.5,41.7773,-71.4142,11:00,Yes,Yes,Chlorophyll,0.82,18-Jul,,Beagle,Cell phone GPS,No,,,,,,,,,,,,,,,,,,,,
Vuarnelle Urena,URI Watershed Watch,WW37,Roger Williams Park Pond,RI,Cunliff Pond (RWP #7),09/04/14,,,SS-1,0.5,41.7774,-71.4142,,No,Yes,Phycocyanin,0.10,9-Nov,,Beagle,Google Earth - URIWW,No,,,,,,,,,,,,,,,,,,,,
Vuarnelle Urena,URI Watershed Watch,WW37,Roger Williams Park Pond,RI,Cunliff Pond (RWP #7),09/04/14,,,SS-1,0.5,41.7774,-71.4142,,Yes,Yes,Phycocyanin,0.10,9-Nov,,Beagle,Google Earth - URIWW,No,,,,,,,,,,,,,,,,,,,,
Vuarnelle Urena,URI Watershed Watch,WW37,Roger Williams Park Pond,RI,Cunliff Pond (RWP #7),09/04/14,,,SS-1,0.5,41.7774,-71.4142,,No,Yes,Chlorophyll,1.79,9-Nov,,Beagle,Google Earth - URIWW,No,,,,,,,,,,,,,,,,,,,,
Vuarnelle Urena,URI Watershed Watch,WW37,Roger Williams Park Pond,RI,Cunliff Pond (RWP #7),09/04/14,,,SS-1,0.5,41.7774,-71.4142,,Yes,Yes,Chlorophyll,1.69,9-Nov,,Beagle,Google Earth - URIWW,No,,,,,,,,,,,,,,,,,,,,
Vuarnelle Urena,URI Watershed Watch,WW209,Asa Pond,RI,,07/03/14,Holly Foley,"Sunny, Gentle Breeze",SS-1,1,41.458,-71.515,12:00,No,Yes,Phycocyanin,0.1,12-Aug,,Beagle,Google Earth - URIWW,No,,,,,,,,,,,,,,,,,,,,
Vuarnelle Urena,URI Watershed Watch,WW209,Asa Pond,RI,,07/03/14,Holly Foley,"Sunny, Gentle Breeze",SS-1,1,41.458,-71.515,12:00,No,Yes,Chlorophyll,1.74,12-Aug,,Beagle,Google Earth - URIWW,No,,,,,,,,,,,,,,,,,,,,
