YourName,Organization,SiteID,WaterbodyName,State,SiteLocation,SampleDate,NameOfSamplers,WeatherConditions,TypeOfSample,Depth,Latitude,Longitude,SampleTime,Filtered?,Frozen?,Parameter,Value,AnalysisDate,AnalysisTime,Fluorometer,GPSType,Photos?,Flag?,Comments,,,,,,,,,,,,,,,,,,
Amanda Murby,UNH Center for Freshwater Biology,,,,,,,,Standard,,,,,,,Phycocyanin,190,,,Beagle Amniscience Fluorquick,,,,Beagle was calibrated with the EPA lab group upon receiving instrument (july 2104),,,,,,,,,,,,,,,,,,
Amanda Murby,UNH Center for Freshwater Biology,,,,,,,,Standard,,,,,,,Phycocyanin,189.6,,,Beagle Amniscience Fluorquick,,,,given STD was suppose to be 214 PC RFU,,,,,,,,,,,,,,,,,,
Amanda Murby,UNH Center for Freshwater Biology,,,,,,,,Standard,,,,,,,Phycocyanin,188.2,,,Beagle Amniscience Fluorquick,,,,,,,,,,,,,,,,,,,,,,
Amanda Murby,UNH Center for Freshwater Biology,,,,,,,,Standard,,,,,,,Chlorophyll,0.287,,,Beagle Amniscience Fluorquick,,,,,,,,,,,,,,,,,,,,,,
Amanda Murby,UNH Center for Freshwater Biology,,,,,,,,Standard,,,,,,,Chlorophyll,0.286,,,Beagle Amniscience Fluorquick,,,,,,,,,,,,,,,,,,,,,,
Amanda Murby,UNH Center for Freshwater Biology,,,,,,,,Standard,,,,,,,Chlorophyll,0.283,,,Beagle Amniscience Fluorquick,,,,,,,,,,,,,,,,,,,,,,
Amanda Murby,UNH Center for Freshwater Biology,,,,,,,,Blank,,,,,,,Phycocyanin,,,,Beagle Amniscience Fluorquick,,,,Blanks were negative values,-0.032,,,,,,,,,,,,,,,,,
Amanda Murby,UNH Center for Freshwater Biology,,,,,,,,Blank,,,,,,,Phycocyanin,,,,Beagle Amniscience Fluorquick,,,,,-0.034,,,,,,,,,,,,,,,,,
Amanda Murby,UNH Center for Freshwater Biology,,,,,,,,Blank,,,,,,,Phycocyanin,,,,Beagle Amniscience Fluorquick,,,,,-0.228,,,,,,,,,,,,,,,,,
Amanda Murby,UNH Center for Freshwater Biology,,,,,,,,Blank,,,,,,,Chlorophyll,,,,Beagle Amniscience Fluorquick,,,,,-0.037,,,,,,,,,,,,,,,,,
