"Order","YourName","Organization","SiteID","WaterbodyName","State","SiteLocation","SampleYear","SampleMonth","SampleDay","NameOfSamplers","WeatherConditions","SampleLocation","SampleMethod","Depth","Latitude","Longitude","SampleHour","SampleMinutes","Filtered","Frozen","Parameter","Value","Units","Rep","Fluorometer","AnalysisYear","AnalysisMonth","AnalysisDay","AnalysisHour","AnalysisMinutes","GPSType","Photos","Flag","Comments"
1,"Angela Shambaugh","VTDEC","50",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.01333333,-73.17383333,NA,NA,TRUE,FALSE,"Chlorophyll",0.76,"µg/l",1,"Beagle",2014,6,23,NA,NA,NA,FALSE,FALSE,""
2,"Angela Shambaugh","VTDEC","50",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.01333333,-73.17383333,NA,NA,TRUE,FALSE,"Chlorophyll",0.76,"µg/l",2,"Beagle",2014,6,23,NA,NA,NA,FALSE,FALSE,""
3,"Angela Shambaugh","VTDEC","50",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.01333333,-73.17383333,NA,NA,TRUE,FALSE,"Chlorophyll",0.74,"µg/l",3,"Beagle",2014,6,23,NA,NA,NA,FALSE,FALSE,""
4,"Angela Shambaugh","VTDEC","50",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.01333333,-73.17383333,NA,NA,TRUE,FALSE,"Phycocyanin",2,"µg/l",1,"Beagle",2014,6,23,NA,NA,NA,FALSE,FALSE,""
5,"Angela Shambaugh","VTDEC","50",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.01333333,-73.17383333,NA,NA,TRUE,FALSE,"Phycocyanin",2.5,"µg/l",2,"Beagle",2014,6,23,NA,NA,NA,FALSE,FALSE,""
6,"Angela Shambaugh","VTDEC","50",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.01333333,-73.17383333,NA,NA,TRUE,FALSE,"Phycocyanin",2,"µg/l",3,"Beagle",2014,6,23,NA,NA,NA,FALSE,FALSE,""
7,"Angela Shambaugh","VTDEC","50",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.01333333,-73.17383333,NA,NA,FALSE,FALSE,"Chlorophyll",0.88,"µg/l",1,"Beagle",2014,6,23,NA,NA,NA,FALSE,FALSE,""
8,"Angela Shambaugh","VTDEC","50",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.01333333,-73.17383333,NA,NA,FALSE,FALSE,"Chlorophyll",0.91,"µg/l",2,"Beagle",2014,6,23,NA,NA,NA,FALSE,FALSE,""
9,"Angela Shambaugh","VTDEC","50",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.01333333,-73.17383333,NA,NA,FALSE,FALSE,"Chlorophyll",0.83,"µg/l",3,"Beagle",2014,6,23,NA,NA,NA,FALSE,FALSE,""
10,"Angela Shambaugh","VTDEC","50",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.01333333,-73.17383333,NA,NA,FALSE,FALSE,"Phycocyanin",1.5,"µg/l",1,"Beagle",2014,6,23,NA,NA,NA,FALSE,FALSE,""
11,"Angela Shambaugh","VTDEC","50",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.01333333,-73.17383333,NA,NA,FALSE,FALSE,"Phycocyanin",3,"µg/l",2,"Beagle",2014,6,23,NA,NA,NA,FALSE,FALSE,""
12,"Angela Shambaugh","VTDEC","50",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.01333333,-73.17383333,NA,NA,FALSE,FALSE,"Phycocyanin",0.1,"µg/l",3,"Beagle",2014,6,23,NA,NA,NA,FALSE,FALSE,""
13,"Angela Shambaugh","VTDEC","50",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.01333333,-73.17383333,NA,NA,FALSE,TRUE,"Chlorophyll",0.8,"µg/l",1,"Beagle",2014,6,27,NA,NA,NA,FALSE,FALSE,""
14,"Angela Shambaugh","VTDEC","50",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.01333333,-73.17383333,NA,NA,FALSE,TRUE,"Chlorophyll",0.82,"µg/l",2,"Beagle",2014,6,27,NA,NA,NA,FALSE,FALSE,""
15,"Angela Shambaugh","VTDEC","50",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.01333333,-73.17383333,NA,NA,FALSE,TRUE,"Chlorophyll",0.82,"µg/l",3,"Beagle",2014,6,27,NA,NA,NA,FALSE,FALSE,""
16,"Angela Shambaugh","VTDEC","50",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.01333333,-73.17383333,NA,NA,FALSE,TRUE,"Phycocyanin",2,"µg/l",1,"Beagle",2014,6,27,NA,NA,NA,FALSE,FALSE,""
17,"Angela Shambaugh","VTDEC","50",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.01333333,-73.17383333,NA,NA,FALSE,TRUE,"Phycocyanin",2.5,"µg/l",2,"Beagle",2014,6,27,NA,NA,NA,FALSE,FALSE,""
18,"Angela Shambaugh","VTDEC","50",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.01333333,-73.17383333,NA,NA,FALSE,TRUE,"Phycocyanin",1.5,"µg/l",3,"Beagle",2014,6,27,NA,NA,NA,FALSE,FALSE,""
19,"Angela Shambaugh","VTDEC","51",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.04166667,-73.12966667,NA,NA,FALSE,FALSE,"Chlorophyll",1.38,"µg/l",1,"Beagle",2014,6,23,NA,NA,NA,FALSE,FALSE,""
20,"Angela Shambaugh","VTDEC","51",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.04166667,-73.12966667,NA,NA,FALSE,FALSE,"Chlorophyll",1.22,"µg/l",2,"Beagle",2014,6,23,NA,NA,NA,FALSE,FALSE,""
21,"Angela Shambaugh","VTDEC","51",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.04166667,-73.12966667,NA,NA,FALSE,FALSE,"Chlorophyll",1.46,"µg/l",3,"Beagle",2014,6,23,NA,NA,NA,FALSE,FALSE,""
22,"Angela Shambaugh","VTDEC","51",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.04166667,-73.12966667,NA,NA,FALSE,FALSE,"Phycocyanin",0.1,"µg/l",1,"Beagle",2014,6,23,NA,NA,NA,FALSE,FALSE,""
23,"Angela Shambaugh","VTDEC","51",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.04166667,-73.12966667,NA,NA,FALSE,FALSE,"Phycocyanin",0.1,"µg/l",2,"Beagle",2014,6,23,NA,NA,NA,FALSE,FALSE,""
24,"Angela Shambaugh","VTDEC","51",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.04166667,-73.12966667,NA,NA,FALSE,FALSE,"Phycocyanin",0.1,"µg/l",3,"Beagle",2014,6,23,NA,NA,NA,FALSE,FALSE,""
25,"Angela Shambaugh","VTDEC","51",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.04166667,-73.12966667,NA,NA,FALSE,TRUE,"Chlorophyll",0.94,"µg/l",1,"Beagle",2014,6,27,NA,NA,NA,FALSE,FALSE,""
26,"Angela Shambaugh","VTDEC","51",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.04166667,-73.12966667,NA,NA,FALSE,TRUE,"Chlorophyll",0.91,"µg/l",2,"Beagle",2014,6,27,NA,NA,NA,FALSE,FALSE,""
27,"Angela Shambaugh","VTDEC","51",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.04166667,-73.12966667,NA,NA,FALSE,TRUE,"Chlorophyll",0.86,"µg/l",3,"Beagle",2014,6,27,NA,NA,NA,FALSE,FALSE,""
28,"Angela Shambaugh","VTDEC","51",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.04166667,-73.12966667,NA,NA,FALSE,TRUE,"Phycocyanin",2.5,"µg/l",1,"Beagle",2014,6,27,NA,NA,NA,FALSE,FALSE,""
29,"Angela Shambaugh","VTDEC","51",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.04166667,-73.12966667,NA,NA,FALSE,TRUE,"Phycocyanin",2.5,"µg/l",2,"Beagle",2014,6,27,NA,NA,NA,FALSE,FALSE,""
30,"Angela Shambaugh","VTDEC","51",NA,"VT",NA,2014,6,23,NA,NA,"WL1","Integrated","3",45.04166667,-73.12966667,NA,NA,FALSE,TRUE,"Phycocyanin",0.1,"µg/l",3,"Beagle",2014,6,27,NA,NA,NA,FALSE,FALSE,""
