Sample Date,Analysis date,station,sample type,collection type,depth (m),parameter,rep,Reading,sample state,temp (degrees C),notes
6/23/2014,6/23/2014,50,ww,hose,3,chlorophyll,1,0.76,"filtered, CDOM, fresh",22,
6/23/2014,6/23/2014,50,ww,hose,3,chlorophyll,2,0.76,"filtered, CDOM, fresh",23,
6/23/2014,6/23/2014,50,ww,hose,3,chlorophyll,3,0.74,"filtered, CDOM, fresh",24,
6/23/2014,6/23/2014,50,ww,hose,3,phycocyanin,1,2,"filtered, CDOM, fresh",19,
6/23/2014,6/23/2014,50,ww,hose,3,phycocyanin,2,2.5,"filtered, CDOM, fresh",20,
6/23/2014,6/23/2014,50,ww,hose,3,phycocyanin,3,2,"filtered, CDOM, fresh",21,
6/23/2014,6/23/2014,50,ww,hose,3,chlorophyll,1,0.88,fresh,19,
6/23/2014,6/23/2014,50,ww,hose,3,chlorophyll,2,0.91,fresh,19,
6/23/2014,6/23/2014,50,ww,hose,3,chlorophyll,3,0.83,fresh,19,
6/23/2014,6/23/2014,50,ww,hose,3,phycocyanin,1,1.5,fresh,19,
6/23/2014,6/23/2014,50,ww,hose,3,phycocyanin,2,3,fresh,19,
6/23/2014,6/23/2014,50,ww,hose,3,phycocyanin,3,0.1,fresh,19,
6/23/2014,6/27/2014,50,ww,hose,3,chlorophyll,1,0.8,frozen,19,
6/23/2014,6/27/2014,50,ww,hose,3,chlorophyll,2,0.82,frozen,19,
6/23/2014,6/27/2014,50,ww,hose,3,chlorophyll,3,0.82,frozen,19,
6/23/2014,6/27/2014,50,ww,hose,3,phycocyanin,1,2,frozen,19,
6/23/2014,6/27/2014,50,ww,hose,3,phycocyanin,2,2.5,frozen,19,
6/23/2014,6/27/2014,50,ww,hose,3,phycocyanin,3,1.5,frozen,19,
6/23/2014,6/23/2014,51,ww,hose,3,chlorophyll,1,1.38,fresh,19,
6/23/2014,6/23/2014,51,ww,hose,3,chlorophyll,2,1.22,fresh,19,
6/23/2014,6/23/2014,51,ww,hose,3,chlorophyll,3,1.46,fresh,19,
6/23/2014,6/23/2014,51,ww,hose,3,phycocyanin,1,0.1,fresh,19,
6/23/2014,6/23/2014,51,ww,hose,3,phycocyanin,2,0.1,fresh,19,
6/23/2014,6/23/2014,51,ww,hose,3,phycocyanin,3,0.1,fresh,19,
6/23/2014,6/27/2014,51,ww,hose,3,chlorophyll,1,0.94,frozen,19,
6/23/2014,6/27/2014,51,ww,hose,3,chlorophyll,2,0.91,frozen,19,
6/23/2014,6/27/2014,51,ww,hose,3,chlorophyll,3,0.86,frozen,19,
