"LocID","LocIDNew"
11,11
19,19
2,2
188,187
101,101
30,30
138,138
137,137
184,184
18,18
141,141
115,115
29,29
170,169
166,167
193,172
173,172
74,74
167,167
169,169
67,67
171,172
70,70
116,116
136,136
174,174
178,183
105,105
176,174
143,143
145,145
146,146
24,24
25,25
26,26
27,27
28,28
31,31
32,32
34,34
35,35
37,37
38,38
40,40
41,41
43,43
44,44
45,45
46,46
48,48
49,49
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,62
63,63
64,64
66,66
68,68
69,69
71,71
72,72
73,73
75,75
76,76
77,77
78,78
79,79
80,80
81,81
82,82
83,83
85,85
86,86
87,87
88,88
89,89
90,90
91,91
92,92
93,93
94,94
95,95
96,96
97,97
98,98
99,99
100,100
102,102
103,103
104,104
106,106
107,107
108,108
109,109
110,110
111,111
112,112
113,113
114,114
117,117
119,119
120,120
121,121
122,122
123,123
124,124
125,125
128,128
129,129
130,130
131,131
132,132
133,133
134,134
135,135
139,139
140,140
168,168
172,172
175,174
177,208
179,183
180,183
181,183
182,183
183,183
183,213
185,167
186,186
187,187
189,187
190,190
191,190
192,190
194,172
195,218
196,196
197,197
198,197
199,197
200,200
201,200
202,197
203,197
204,200
205,205
206,205
207,205
208,208
209,208
210,213
211,213
212,213
213,213
214,214
215,216
216,216
217,216
218,218
219,218
220,218
221,218
148,148
149,149
150,150
151,151
152,152
153,153
154,154
155,155
156,156
157,157
158,158
159,159
160,160
161,161
162,162
163,163
164,164
165,165
1,1
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
12,12
13,13
14,14
15,15
16,16
17,17
20,20
21,21
22,22
23,23
142,142
144,144
147,147
33,33
36,36
39,39
42,42
47,47
65,65
84,84
118,118
126,126
127,127
