WBID,LocID,LocIDNew,Organization,Longitude,Latitude,WaterbodyName,SiteID,SiteLocation,SampleLocation,Distance,freqLocID,freqWBID,siteDescription,siteComment
22302965,11,11,VTDEC,-73.093994,45.041197,NA,"phillipsburg, QE",NA,WL1,36159.77562,1,19,"WBID= 22302965 VTDEC phillipsburg, QE WL1",Location Wrong; Lon/Lat changed from -73.078158 / 45.340375; moved to offshore Phillpsburg
22302965,19,19,VTDEC,-73.078067,45.056267,NA,QE BM b,NA,WL1,4653.031231,1,19,WBID= 22302965 VTDEC QE BM b WL1,Location in Canada-distance to lake champlain okay
22302965,2,2,VTDEC,-73.12966667,45.04166667,NA,51,NA,WL1,3013.496307,1,19,WBID= 22302965 VTDEC 51 WL1,Location in Canada-distance to lake champlain okay
6127455,188,187,RIWW,-71.4152,41.7082,Warwick Pond,WW59,NA,SS1,597.9015871,1,1,WBID= 6127455 RIWW Warwick Pond WW59 SS,Location wrong; WBID= 6127455
9326606,101,101,NHDES,-72.134333,43.639417,25,Mascoma Lake- Dartmouth Sail Club,Mascoma Lake- Dartmouth Sail Club,SS2,277.2608782,1,1,WBID= 9326606 NHDES 25 Mascoma Lake- Dartmouth Sail Club Mascoma Lake- Dartmouth Sail Club SS2,Location wrong; WBID= 9326606
6739046,30,30,NHDES,-71.216344,43.393325,2,HALALTR,HALFMOON LAKE-RUSTIC SHORES,SS1,142.5262189,1,4,WBID= 6739046 NHDES 2 HALALTR HALFMOON LAKE-RUSTIC SHORES SS1,Location distance okay
6738242,138,138,NHDES,-71.561542,43.504181,36,HUNSANN,HUNKINS POND-NORTH END,SS1,126.0285635,1,2,WBID= 6738242 NHDES 36 HUNSANN HUNKINS POND-NORTH END SS1,Location distance okay
6738242,137,137,NHDES,-71.5595,43.504194,36,HUNSAND,HUNKINS POND-DEEP SPOT,WL1,72.11765901,1,2,WBID= 6738242 NHDES 36 HUNSAND HUNKINS POND-DEEP SPOT WL1,Location distance okay
6127315,184,184,RIWW,-71.414,41.777,Roger Williams Park Pond,WW37,Cunliff Pond (RWP #7),SS1,55.7269774,1,8,WBID= 6738242 NHDES 36 HUNSAND HUNKINS POND-DEEP SPOT WL2,
22302965,18,18,VTDEC,-73.151858,44.810706,NA,Black Bridge 1,NA,SS1,53.48375752,1,19,WBID= 22302965 VTDEC Black Bridge 1 SS1,
6738922,141,141,NHDES,-71.679558,43.458833,39,BCHLEGFRKLF,WEBSTER LAKE LAGACE TB-LEFT,Other,53.37493681,1,1,WBID= 6738922 NHDES 39 BCHLEGFRKLF WEBSTER LAKE LAGACE TB-LEFT Other,
6764368,115,115,NHDES,-72.076798,42.934898,28,SKAHARSP,LAKE SKATUTAKEE-SPRING,SS1,42.55715369,1,2,WBID= 6764368 NHDES 28 SKAHARSP LAKE SKATUTAKEE-SPRING SS1,
